매장명,주소,위도,경도
가산디지털단지역점,서울시 금천구 가산동 60-3 ,,
가산안양천점,"서울 금천구 가산 디지털2로 127-143, 101호",,
가산어반워크점,"서울시 금천구 가산디지털2로 135, 1동 142호",,
가산우림라이온스점,"서울특별시 금천구 가산디지털1로 168, B동 B131호",,
가산파트너스타워점,"서울특별시 금천구 가산디지털1로 83, 103호-1",,
강남구청점,서울 강남구 청담동 45-4,,
강남대로점,서울 서초구 강남대로 359 대우도시의빛2 102호,,
강남역사거리점,서울특별시 강남구 역삼동 820-10,,
강남역아라타워점,"서울시 서초구 서초대로 77길 3, 1층 125호 126-1호",,
강남역점,서울 강남구 역삼동822-7,,
강남우성점,서울시 강남구 역삼동 837번지 1층 104호,,
강남점,"서울 강남구 테헤란로4길 46 (역삼동 826-37) 쌍용 플래티넘, 1층",,
강남효성점,서울 강남구 역삼동 825-24,,
강동역점,서울 강동구 천호동 447,,
강릉입암점,강원특별자치도 강릉시 성덕포남로 52,,
거여역점,서울특별시 송파구 거여동 37-6,,
건대역점,서울 광진구 아차산로 221 (화양동 7-4),,
건대점,서울시 광진구 화양동 34-74,,
경희대점,서울 동대문구 경희대로4길 1,,
계명대학교동산병원점,"대구광역시 달서구 달구벌대로 1035, 지하1층",,
계양구청점,"인천광역시 계양구 도두리로 25, 107호",,
고덕비즈밸리점,"서울특별시 강동구 고덕비즈밸리로4길 35, 1층 106호(고덕동, 디엠스퀘어)",,
공덕역점,서울특별시 마포구 백범로 202 마포케이씨씨웰츠타워 1층,,
공주대점,충청남도 공주시 흑수골길 13,,
과천어반허브점,"경기도 과천시 과천대로7나길 60, 1층 A-125호",,
광교법조타운점,경기도 수원시 영통구 하동 983-4,,
교대사거리점,서울 서초구 서초동 1598-1,,
교대역점,서울 서초구 반포대로30길 82,,
교육개발원사거리점,서울 서초구 강남대로27길 7-21 1층,,
구래역점,"경기도 김포시 솔터로 22, 301동 186호",,
구로비즈메트로점,서울시 구로구 구로동 851번지 한화비즈메트로1차 109호,,
구로에이스점,"서울특시 구로구 디지털로 273, 1층 102호(구로동, 에이스트윈타워 2차)",,
구로우림점,서울 구로구 디지털로33길 28 우림이비즈센터1차 118호,,
구로지플러스점,서울시 구로구 구로동 222-31,,
구월점,"인천광역시 남동구 인하로 489번길 10, 104호",,
국기원사거리점,서울 강남구 테헤란로8길 26 (역삼동827-48),,
군포첨단산업단지점,경기도 군포시 부곡동 1244-4 1층,,
길동역점,서울 강동구 양재대로 1490 (길동 366-5),,
길음역점,"서울특별시 성북구 길음동 542-1 길음역롯데캐슬트윈골드, 124호",,
김포구래점,경기도 김포시 구래동 6883-10 103호,,
낙성대역점,서울시 관악구 봉천동 1658-19 ,,
